image_id,label,original_image_path,original_mask_path,selected_image_path,selected_mask_path,height,width,n_pixels,image_mean,image_std,image_min,image_max,image_median,image_p05,image_p95,dynamic_range,image_skewness,image_kurtosis_excess,lesion_area_px,lesion_area_fraction,lesion_mean,lesion_std,lesion_min,lesion_max,background_mean,background_std,background_min,background_max,lesion_background_contrast
benign (72),benign,data\raw\benign\benign (72).png,data\raw\benign\benign (72)_mask.png,data\selected\busi_subset\benign\images\benign_72.png,data\selected\busi_subset\benign\masks\benign_72_mask.png,465,557,259005,91.33818817138672,64.1595687866211,0.0,255.0,84.0,11.0,207.0,255.0,0.5145511627197266,-0.6515100002288818,20685,0.07986332310187062,49.99598693847656,29.38669204711914,1.0,232.0,94.92652130126953,65.09654235839844,0.0,255.0,0.4733190866171442
benign (373),benign,data\raw\benign\benign (373).png,data\raw\benign\benign (373)_mask.png,data\selected\busi_subset\benign\images\benign_373.png,data\selected\busi_subset\benign\masks\benign_373_mask.png,457,555,253635,86.53160858154297,69.07030487060547,0.0,255.0,65.0,8.0,210.0,255.0,0.5325070023536682,-0.9744007587432861,10234,0.040349320874484985,79.60377502441406,39.17020797729492,21.0,240.0,86.82291412353516,70.0334243774414,0.0,255.0,0.08314785527721326
malignant (157),malignant,data\raw\malignant\malignant (157).png,data\raw\malignant\malignant (157)_mask.png,data\selected\busi_subset\malignant\images\malignant_157.png,data\selected\busi_subset\malignant\masks\malignant_157_mask.png,471,564,265644,75.2460708618164,51.81233215332031,0.0,255.0,70.0,2.0,168.0,255.0,0.4542214870452881,-0.49016451835632324,5265,0.019819758774901747,105.8681869506836,41.1665153503418,35.0,238.0,74.62686157226562,51.81879806518555,0.0,255.0,-0.4186337830109444
benign (138),benign,data\raw\benign\benign (138).png,data\raw\benign\benign (138)_mask.png,data\selected\busi_subset\benign\images\benign_138.png,data\selected\busi_subset\benign\masks\benign_138_mask.png,600,766,459600,71.89360046386719,66.66120147705078,0.0,255.0,56.0,1.0,192.0,255.0,0.5635693073272705,-0.9672296047210693,2052,0.004464751958224543,68.40155792236328,38.36213684082031,2.0,204.0,71.90924835205078,66.76068878173828,0.0,255.0,0.04877940612071035
benign (167),benign,data\raw\benign\benign (167).png,data\raw\benign\benign (167)_mask.png,data\selected\busi_subset\benign\images\benign_167.png,data\selected\busi_subset\benign\masks\benign_167_mask.png,463,566,262058,123.38128662109375,46.196861267089844,0.0,255.0,121.0,47.0,205.0,255.0,0.26981306076049805,-0.13457775115966797,2564,0.00978409359760053,85.45709991455078,32.221309661865234,41.0,236.0,123.75599670410156,46.158721923828125,0.0,255.0,0.30947103822393407
malignant (210),malignant,data\raw\malignant\malignant (210).png,data\raw\malignant\malignant (210)_mask.png,data\selected\busi_subset\malignant\images\malignant_210.png,data\selected\busi_subset\malignant\masks\malignant_210_mask.png,587,775,454925,94.42072296142578,62.018333435058594,0.0,254.0,107.0,3.0,187.0,254.0,-0.09265255182981491,-1.2838830947875977,100618,0.22117491894268285,22.925241470336914,25.92192840576172,0.0,204.0,114.72440338134766,53.701725006103516,0.0,254.0,0.8001711858798309
benign (16),benign,data\raw\benign\benign (16).png,data\raw\benign\benign (16)_mask.png,data\selected\busi_subset\benign\images\benign_16.png,data\selected\busi_subset\benign\masks\benign_16_mask.png,462,558,257796,121.72147369384766,60.221580505371094,0.0,255.0,121.0,33.0,227.0,255.0,0.23585288226604462,-0.8161361217498779,2309,0.008956694440565408,71.98397827148438,32.24360656738281,31.0,215.0,122.17098999023438,60.2283935546875,0.0,255.0,0.41079319827606964
benign (11),benign,data\raw\benign\benign (11).png,data\raw\benign\benign (11)_mask.png,data\selected\busi_subset\benign\images\benign_11.png,data\selected\busi_subset\benign\masks\benign_11_mask.png,587,689,404443,133.23397827148438,41.62866973876953,0.0,255.0,130.0,70.0,208.0,255.0,0.2692413628101349,-0.18987464904785156,1951,0.004823918327180839,36.61301803588867,49.71665954589844,0.0,244.0,133.70237731933594,41.03527069091797,0.0,255.0,0.7261603063668537
malignant (73),malignant,data\raw\malignant\malignant (73).png,data\raw\malignant\malignant (73)_mask.png,data\selected\busi_subset\malignant\images\malignant_73.png,data\selected\busi_subset\malignant\masks\malignant_73_mask.png,474,549,260226,87.89990234375,53.71133041381836,0.0,255.0,83.0,9.0,187.0,255.0,0.4782797396183014,-0.327134370803833,9757,0.0374943318500073,72.63267517089844,33.26603317260742,13.0,201.0,88.49463653564453,54.26551818847656,0.0,255.0,0.1792420646483437
malignant (65),malignant,data\raw\malignant\malignant (65).png,data\raw\malignant\malignant (65)_mask.png,data\selected\busi_subset\malignant\images\malignant_65.png,data\selected\busi_subset\malignant\masks\malignant_65_mask.png,584,922,538448,62.170467376708984,39.58253860473633,0.0,251.0,57.0,1.0,129.0,251.0,0.5365237593650818,0.10812759399414062,20141,0.037405654770748524,33.75686264038086,25.221410751342773,0.0,148.0,63.274593353271484,39.62764358520508,0.0,251.0,0.4665021005101323
benign (99),benign,data\raw\benign\benign (99).png,data\raw\benign\benign (99)_mask.png,data\selected\busi_subset\benign\images\benign_99.png,data\selected\busi_subset\benign\masks\benign_99_mask.png,471,554,260934,84.50285339355469,49.497840881347656,0.0,255.0,80.0,14.0,175.0,255.0,0.46930885314941406,-0.3747069835662842,11116,0.042600810933032876,17.055055618286133,26.589086532592773,0.0,176.0,87.5040512084961,48.126556396484375,0.0,255.0,0.8050941026067473
benign (76),benign,data\raw\benign\benign (76).png,data\raw\benign\benign (76)_mask.png,data\selected\busi_subset\benign\images\benign_76.png,data\selected\busi_subset\benign\masks\benign_76_mask.png,685,848,580880,79.30754852294922,38.43394088745117,0.0,229.0,72.0,31.0,153.0,229.0,0.6960164308547974,0.0255587100982666,10263,0.01766802093375568,14.274968147277832,19.74863052368164,0.0,119.0,80.47718048095703,37.673431396484375,8.0,229.0,0.8226209209841557
benign (429),benign,data\raw\benign\benign (429).png,data\raw\benign\benign (429)_mask.png,data\selected\busi_subset\benign\images\benign_429.png,data\selected\busi_subset\benign\masks\benign_429_mask.png,437,582,254334,88.5743179321289,49.001163482666016,0.0,255.0,81.0,25.0,181.0,255.0,0.6283856630325317,-0.2563192844390869,3225,0.012680176460874283,49.70325469970703,40.662845611572266,0.0,221.0,89.07353973388672,48.89848327636719,0.0,255.0,0.4419975353778589
benign (177),benign,data\raw\benign\benign (177).png,data\raw\benign\benign (177)_mask.png,data\selected\busi_subset\benign\images\benign_177.png,data\selected\busi_subset\benign\masks\benign_177_mask.png,470,562,264140,76.79337310791016,50.927955627441406,0.0,255.0,68.0,13.0,172.0,255.0,0.7140476107597351,-0.1422421932220459,2830,0.01071401529491936,32.60565185546875,22.747234344482422,0.0,192.0,77.27191162109375,50.93885803222656,0.0,255.0,0.5780400513302634
benign (365),benign,data\raw\benign\benign (365).png,data\raw\benign\benign (365)_mask.png,data\selected\busi_subset\benign\images\benign_365.png,data\selected\busi_subset\benign\masks\benign_365_mask.png,431,582,250842,95.32697296142578,45.55883026123047,0.0,255.0,91.0,25.0,175.0,255.0,0.3924124240875244,-0.24112200736999512,7856,0.031318519227242644,74.90962219238281,23.867996215820312,37.0,205.0,95.9870834350586,45.93889236450195,0.0,255.0,0.21958643273852746
benign (47),benign,data\raw\benign\benign (47).png,data\raw\benign\benign (47)_mask.png,data\selected\busi_subset\benign\images\benign_47.png,data\selected\busi_subset\benign\masks\benign_47_mask.png,585,763,446355,87.64071655273438,63.297183990478516,0.0,248.0,83.0,6.0,194.0,248.0,0.3094964325428009,-1.1843081712722778,2284,0.005117003282140897,78.80560302734375,45.34262466430664,15.0,214.0,87.6861801147461,63.37318801879883,0.0,248.0,0.10127681551150315
benign (172),benign,data\raw\benign\benign (172).png,data\raw\benign\benign (172)_mask.png,data\selected\busi_subset\benign\images\benign_172.png,data\selected\busi_subset\benign\masks\benign_172_mask.png,589,619,364591,100.74420928955078,52.60899353027344,0.0,255.0,100.0,22.0,194.0,255.0,0.27884581685066223,-0.5320301055908203,8769,0.02405160851474666,31.462995529174805,40.51629638671875,0.0,182.0,102.45162200927734,51.71318817138672,0.0,255.0,0.6928990003374011
benign (120),benign,data\raw\benign\benign (120).png,data\raw\benign\benign (120)_mask.png,data\selected\busi_subset\benign\images\benign_120.png,data\selected\busi_subset\benign\masks\benign_120_mask.png,695,808,561560,57.246150970458984,44.719242095947266,0.0,255.0,46.0,10.0,143.0,255.0,0.976511538028717,0.4736976623535156,1930,0.003436854476814588,48.27979278564453,29.376567840576172,11.0,185.0,57.2770881652832,44.75995635986328,0.0,255.0,0.15708367283100255
malignant (57),malignant,data\raw\malignant\malignant (57).png,data\raw\malignant\malignant (57)_mask.png,data\selected\busi_subset\malignant\images\malignant_57.png,data\selected\busi_subset\malignant\masks\malignant_57_mask.png,533,717,382161,49.26934814453125,31.876150131225586,0.0,215.0,43.0,10.0,109.0,215.0,0.9539393782615662,0.8443739414215088,47395,0.12401841108852028,46.05376052856445,26.773237228393555,0.0,192.0,49.724605560302734,32.508296966552734,0.0,215.0,0.0738235123162171
benign (386),benign,data\raw\benign\benign (386).png,data\raw\benign\benign (386)_mask.png,data\selected\busi_subset\benign\images\benign_386.png,data\selected\busi_subset\benign\masks\benign_386_mask.png,578,768,443904,70.49518585205078,47.55033874511719,0.0,235.0,61.0,9.0,162.0,235.0,0.6675083637237549,-0.37346386909484863,25588,0.057643094002306806,62.77899932861328,35.53962326049805,0.0,214.0,70.96717834472656,48.14784240722656,0.0,235.0,0.11537980240929126
malignant (61),malignant,data\raw\malignant\malignant (61).png,data\raw\malignant\malignant (61)_mask.png,data\selected\busi_subset\malignant\images\malignant_61.png,data\selected\busi_subset\malignant\masks\malignant_61_mask.png,462,566,261492,105.5743179321289,47.15332794189453,0.0,255.0,110.0,31.0,181.0,255.0,0.07088526338338852,-0.6278080940246582,8327,0.031844186437826015,106.86261749267578,37.60365295410156,32.0,210.0,105.53195190429688,47.43418884277344,0.0,255.0,-0.01260912514400897
benign (281),benign,data\raw\benign\benign (281).png,data\raw\benign\benign (281)_mask.png,data\selected\busi_subset\benign\images\benign_281.png,data\selected\busi_subset\benign\masks\benign_281_mask.png,392,605,237160,105.57640075683594,44.0418815612793,0.0,255.0,100.0,43.0,188.0,255.0,0.5895480513572693,0.07492804527282715,12791,0.053934052960026985,69.46822357177734,49.018951416015625,0.0,242.0,107.63485717773438,42.83359909057617,0.0,255.0,0.3545936196058459
malignant (153),malignant,data\raw\malignant\malignant (153).png,data\raw\malignant\malignant (153)_mask.png,data\selected\busi_subset\malignant\images\malignant_153.png,data\selected\busi_subset\malignant\masks\malignant_153_mask.png,603,650,391950,45.5924072265625,36.73984146118164,0.0,237.0,34.0,1.0,117.0,237.0,0.881685733795166,0.10002779960632324,138357,0.3529965556831228,22.65787124633789,26.320133209228516,0.0,138.0,58.10519027709961,35.56344223022461,0.0,237.0,0.6100542628914108
benign (339),benign,data\raw\benign\benign (339).png,data\raw\benign\benign (339)_mask.png,data\selected\busi_subset\benign\images\benign_339.png,data\selected\busi_subset\benign\masks\benign_339_mask.png,465,557,259005,74.73551940917969,54.045204162597656,0.0,255.0,71.0,2.0,169.0,255.0,0.4015218913555145,-0.702995777130127,25868,0.09987451979691511,46.534793853759766,33.849876403808594,0.0,255.0,77.86457061767578,54.9527702331543,0.0,255.0,0.40236241606886
benign (227),benign,data\raw\benign\benign (227).png,data\raw\benign\benign (227)_mask.png,data\selected\busi_subset\benign\images\benign_227.png,data\selected\busi_subset\benign\masks\benign_227_mask.png,468,567,265356,104.92027282714844,42.43449401855469,0.0,255.0,98.0,47.0,185.0,255.0,0.7048528790473938,0.16342473030090332,6774,0.025527969972414417,96.03557586669922,42.73381805419922,33.0,236.0,105.15303039550781,42.40160369873047,0.0,255.0,0.08670653136337031
benign (312),benign,data\raw\benign\benign (312).png,data\raw\benign\benign (312)_mask.png,data\selected\busi_subset\benign\images\benign_312.png,data\selected\busi_subset\benign\masks\benign_312_mask.png,490,552,270480,74.86339569091797,66.82044219970703,0.0,255.0,56.0,1.0,198.0,255.0,0.6587348580360413,-0.7115685939788818,39724,0.1468648328896776,77.9554672241211,51.19749069213867,0.0,255.0,74.33110046386719,69.14076232910156,0.0,255.0,-0.048759761891701524
benign (381),benign,data\raw\benign\benign (381).png,data\raw\benign\benign (381)_mask.png,data\selected\busi_subset\benign\images\benign_381.png,data\selected\busi_subset\benign\masks\benign_381_mask.png,576,747,430272,139.106689453125,42.61901092529297,0.0,255.0,140.0,65.0,210.0,255.0,-0.1260378360748291,-0.3022725582122803,31694,0.07366038226982002,110.1277847290039,24.60295867919922,39.0,235.0,141.41102600097656,42.90214920043945,0.0,255.0,0.22122207973757574
benign (264),benign,data\raw\benign\benign (264).png,data\raw\benign\benign (264)_mask.png,data\selected\busi_subset\benign\images\benign_264.png,data\selected\busi_subset\benign\masks\benign_264_mask.png,391,462,180642,92.23133087158203,43.79777908325195,0.0,255.0,87.0,31.0,175.0,255.0,0.6240720748901367,0.05813336372375488,16253,0.08997353882264368,68.99464416503906,41.91053009033203,0.0,245.0,94.52872467041016,43.30792236328125,0.0,255.0,0.2701198031783317
benign (108),benign,data\raw\benign\benign (108).png,data\raw\benign\benign (108)_mask.png,data\selected\busi_subset\benign\images\benign_108.png,data\selected\busi_subset\benign\masks\benign_108_mask.png,582,769,447558,101.4256591796875,41.04822540283203,0.0,255.0,106.0,30.0,165.0,255.0,-0.056306175887584686,-0.36949586868286133,13857,0.030961350260748328,134.7005157470703,16.139673233032227,79.0,207.0,100.36251068115234,41.15777587890625,0.0,255.0,-0.3421397574597056
benign (288),benign,data\raw\benign\benign (288).png,data\raw\benign\benign (288)_mask.png,data\selected\busi_subset\benign\images\benign_288.png,data\selected\busi_subset\benign\masks\benign_288_mask.png,390,463,180570,111.54710388183594,39.353519439697266,0.0,255.0,107.0,52.0,183.0,255.0,0.37299829721450806,-0.4304678440093994,6689,0.03704380572631113,125.48108673095703,32.7342414855957,45.0,224.0,111.01107025146484,39.48796463012695,0.0,255.0,-0.13034750899537223
malignant (182),malignant,data\raw\malignant\malignant (182).png,data\raw\malignant\malignant (182)_mask.png,data\selected\busi_subset\malignant\images\malignant_182.png,data\selected\busi_subset\malignant\masks\malignant_182_mask.png,583,689,401687,82.17021942138672,61.17454528808594,0.0,255.0,74.0,4.0,186.0,255.0,0.33486130833625793,-1.1345258951187134,84653,0.2107436884937775,44.79163360595703,36.75164031982422,0.0,203.0,92.15088653564453,62.51604080200195,0.0,255.0,0.5139316039702921
benign (402),benign,data\raw\benign\benign (402).png,data\raw\benign\benign (402)_mask.png,data\selected\busi_subset\benign\images\benign_402.png,data\selected\busi_subset\benign\masks\benign_402_mask.png,469,561,263109,101.45158386230469,57.48535919189453,0.0,255.0,102.0,19.0,197.0,255.0,0.24144332110881805,-0.829434871673584,12053,0.04580991148155327,125.56774139404297,41.416255950927734,43.0,254.0,100.29375457763672,57.89303207397461,0.0,255.0,-0.2519996077554543
malignant (86),malignant,data\raw\malignant\malignant (86).png,data\raw\malignant\malignant (86)_mask.png,data\selected\busi_subset\malignant\images\malignant_86.png,data\selected\busi_subset\malignant\masks\malignant_86_mask.png,483,735,355005,56.426551818847656,32.7233772277832,0.0,255.0,52.0,8.0,112.0,255.0,0.9544698596000671,2.3515028953552246,82710,0.2329826340474078,26.417495727539062,22.966537475585938,0.0,151.0,65.54185485839844,29.65189552307129,0.0,255.0,0.596937013903821
benign (350),benign,data\raw\benign\benign (350).png,data\raw\benign\benign (350)_mask.png,data\selected\busi_subset\benign\images\benign_350.png,data\selected\busi_subset\benign\masks\benign_350_mask.png,580,786,455880,111.29185485839844,46.09942626953125,0.0,249.0,112.0,37.0,190.0,249.0,0.13586142659187317,-0.5940849781036377,61134,0.13410107923137668,107.93096923828125,28.10234260559082,24.0,212.0,111.81231689453125,48.26957702636719,0.0,249.0,0.03471305991775497
benign (178),benign,data\raw\benign\benign (178).png,data\raw\benign\benign (178)_mask.png,data\selected\busi_subset\benign\images\benign_178.png,data\selected\busi_subset\benign\masks\benign_178_mask.png,576,772,444672,103.31741333007812,57.93409729003906,0.0,255.0,103.0,17.0,200.0,255.0,0.16350364685058594,-0.9252676963806152,32243,0.07250962507196315,37.089134216308594,30.908111572265625,0.0,221.0,108.49502563476562,56.3414306640625,0.0,255.0,0.6581489888048341
benign (268),benign,data\raw\benign\benign (268).png,data\raw\benign\benign (268)_mask.png,data\selected\busi_subset\benign\images\benign_268.png,data\selected\busi_subset\benign\masks\benign_268_mask.png,330,506,166980,80.48307800292969,39.97878646850586,0.0,255.0,75.0,24.0,155.0,255.0,0.7370240092277527,0.7231366634368896,15243,0.09128638160258713,51.079708099365234,39.55809020996094,0.0,243.0,83.43685150146484,38.80836868286133,0.0,255.0,0.38780398368283947
benign (419),benign,data\raw\benign\benign (419).png,data\raw\benign\benign (419)_mask.png,data\selected\busi_subset\benign\images\benign_419.png,data\selected\busi_subset\benign\masks\benign_419_mask.png,574,772,443128,83.39676666259766,53.636417388916016,0.0,243.0,78.0,6.0,177.0,243.0,0.35967421531677246,-0.7814900875091553,10624,0.023975013991442654,40.2607307434082,34.0108642578125,0.0,225.0,84.45635986328125,53.59374237060547,0.0,243.0,0.5232954532516485
malignant (121),malignant,data\raw\malignant\malignant (121).png,data\raw\malignant\malignant (121)_mask.png,data\selected\busi_subset\malignant\images\malignant_121.png,data\selected\busi_subset\malignant\masks\malignant_121_mask.png,476,562,267512,98.08638000488281,62.95847702026367,0.0,255.0,87.0,18.0,208.0,255.0,0.4024682343006134,-0.9639990329742432,3512,0.013128383025808188,104.50654602050781,42.758670806884766,36.0,239.0,98.0009765625,63.17928695678711,0.0,255.0,-0.06638270031110421
malignant (187),malignant,data\raw\malignant\malignant (187).png,data\raw\malignant\malignant (187)_mask.png,data\selected\busi_subset\malignant\images\malignant_187.png,data\selected\busi_subset\malignant\masks\malignant_187_mask.png,585,765,447525,89.23579406738281,66.96419525146484,0.0,255.0,83.0,2.0,198.0,255.0,0.2483462542295456,-1.2665942907333374,54503,0.12178760963074689,112.63121032714844,46.049903869628906,3.0,232.0,85.99137115478516,68.74264526367188,0.0,255.0,-0.3097966553099077
malignant (173),malignant,data\raw\malignant\malignant (173).png,data\raw\malignant\malignant (173)_mask.png,data\selected\busi_subset\malignant\images\malignant_173.png,data\selected\busi_subset\malignant\masks\malignant_173_mask.png,451,573,258423,33.9444465637207,36.096683502197266,0.0,255.0,24.0,1.0,107.0,255.0,1.3848899602890015,1.9779925346374512,14986,0.057990194371244044,5.464566707611084,9.702479362487793,0.0,80.0,35.697669982910156,36.39204406738281,0.0,255.0,0.8469209133622336
benign (33),benign,data\raw\benign\benign (33).png,data\raw\benign\benign (33)_mask.png,data\selected\busi_subset\benign\images\benign_33.png,data\selected\busi_subset\benign\masks\benign_33_mask.png,468,556,260208,82.24803161621094,56.11262130737305,0.0,255.0,74.0,1.0,182.0,255.0,0.4345065653324127,-0.6795363426208496,15489,0.05952545655783066,16.18425941467285,26.215648651123047,0.0,173.0,86.42938232421875,54.86977767944336,0.0,255.0,0.8127458627195899
benign (265),benign,data\raw\benign\benign (265).png,data\raw\benign\benign (265)_mask.png,data\selected\busi_subset\benign\images\benign_265.png,data\selected\busi_subset\benign\masks\benign_265_mask.png,328,544,178432,98.72517395019531,49.664756774902344,0.0,255.0,94.0,25.0,192.0,255.0,0.4638500213623047,-0.08630156517028809,12086,0.06773448708751793,57.096805572509766,38.5598030090332,0.0,242.0,101.74971771240234,49.01750946044922,0.0,255.0,0.4388504768309672
benign (302),benign,data\raw\benign\benign (302).png,data\raw\benign\benign (302)_mask.png,data\selected\busi_subset\benign\images\benign_302.png,data\selected\busi_subset\benign\masks\benign_302_mask.png,390,466,181740,120.48517608642578,39.461326599121094,0.0,255.0,115.0,65.0,194.0,255.0,0.5115240216255188,-0.2656290531158447,2786,0.01532959172444151,93.08363342285156,13.537264823913574,58.0,174.0,120.9117660522461,39.581748962402344,0.0,255.0,0.23015239571530569
benign (241),benign,data\raw\benign\benign (241).png,data\raw\benign\benign (241)_mask.png,data\selected\busi_subset\benign\images\benign_241.png,data\selected\busi_subset\benign\masks\benign_241_mask.png,471,562,264702,79.84675598144531,44.310821533203125,0.0,255.0,71.0,22.0,163.0,255.0,0.8082139492034912,0.35642552375793457,12012,0.04537933223020604,64.14893341064453,44.07069396972656,0.0,239.0,80.59297943115234,44.183555603027344,0.0,255.0,0.2040381945739453
benign (169),benign,data\raw\benign\benign (169).png,data\raw\benign\benign (169)_mask.png,data\selected\busi_subset\benign\images\benign_169.png,data\selected\busi_subset\benign\masks\benign_169_mask.png,469,561,263109,83.29469299316406,53.316524505615234,0.0,255.0,80.0,16.0,185.0,255.0,0.5777257084846497,-0.32514405250549316,1396,0.005305785815004428,36.35171890258789,21.018756866455078,6.0,155.0,83.54510498046875,53.32579803466797,0.0,255.0,0.5648851130567725
benign (186),benign,data\raw\benign\benign (186).png,data\raw\benign\benign (186)_mask.png,data\selected\busi_subset\benign\images\benign_186.png,data\selected\busi_subset\benign\masks\benign_186_mask.png,574,741,425334,128.39974975585938,51.588905334472656,0.0,255.0,136.0,38.0,206.0,255.0,-0.2741383910179138,-0.6346514225006104,33341,0.07838780816957967,42.44287872314453,28.8319034576416,0.0,172.0,135.71078491210938,46.20810317993164,7.0,255.0,0.6872549314521728
malignant (17),malignant,data\raw\malignant\malignant (17).png,data\raw\malignant\malignant (17)_mask.png,data\selected\busi_subset\malignant\images\malignant_17.png,data\selected\busi_subset\malignant\masks\malignant_17_mask.png,590,765,451350,83.87467193603516,60.564659118652344,0.0,255.0,70.0,12.0,194.0,255.0,0.5634198188781738,-0.8542733192443848,35657,0.0790007754514235,65.55733489990234,33.901737213134766,0.0,189.0,85.44584655761719,62.07157516479492,0.0,255.0,0.23276159645719188
benign (161),benign,data\raw\benign\benign (161).png,data\raw\benign\benign (161)_mask.png,data\selected\busi_subset\benign\images\benign_161.png,data\selected\busi_subset\benign\masks\benign_161_mask.png,463,568,262984,68.94452667236328,45.67824172973633,0.0,255.0,62.0,12.0,156.0,255.0,0.8421137928962708,0.42997169494628906,3109,0.011822011985520032,33.085235595703125,37.768157958984375,0.0,182.0,69.37351989746094,45.59419631958008,0.0,255.0,0.5230855281693023
benign (113),benign,data\raw\benign\benign (113).png,data\raw\benign\benign (113)_mask.png,data\selected\busi_subset\benign\images\benign_113.png,data\selected\busi_subset\benign\masks\benign_113_mask.png,695,810,562950,78.77738189697266,46.297279357910156,2.0,255.0,71.0,18.0,168.0,253.0,0.8972345590591431,0.6053743362426758,21535,0.038253841371347366,36.46027374267578,24.562124252319336,8.0,210.0,80.4605712890625,46.15882873535156,2.0,255.0,0.5468553955805606
benign (284),benign,data\raw\benign\benign (284).png,data\raw\benign\benign (284)_mask.png,data\selected\busi_subset\benign\images\benign_284.png,data\selected\busi_subset\benign\masks\benign_284_mask.png,497,622,309134,54.78469467163086,57.773765563964844,0.0,255.0,36.0,1.0,172.0,255.0,0.928839385509491,0.0024971961975097656,19226,0.06219309425685948,56.213356018066406,40.60518264770508,0.0,248.0,54.68994140625,58.733943939208984,0.0,255.0,-0.027855480777014593
malignant (47),malignant,data\raw\malignant\malignant (47).png,data\raw\malignant\malignant (47)_mask.png,data\selected\busi_subset\malignant\images\malignant_47.png,data\selected\busi_subset\malignant\masks\malignant_47_mask.png,471,562,264702,78.7896728515625,50.12779235839844,0.0,255.0,71.0,14.0,173.0,255.0,0.6508325934410095,-0.1990816593170166,53149,0.20078805600259914,85.32598876953125,37.544586181640625,11.0,255.0,77.14753723144531,52.6927375793457,0.0,255.0,-0.10601053294144946
benign (182),benign,data\raw\benign\benign (182).png,data\raw\benign\benign (182)_mask.png,data\selected\busi_subset\benign\images\benign_182.png,data\selected\busi_subset\benign\masks\benign_182_mask.png,463,555,256965,94.18404388427734,49.14554214477539,0.0,255.0,92.0,25.0,179.0,255.0,0.4129282534122467,-0.5043337345123291,3096,0.012048333430622848,63.96866989135742,43.872886657714844,1.0,193.0,94.5525131225586,49.09170913696289,0.0,255.0,0.3234588084224047
malignant (194),malignant,data\raw\malignant\malignant (194).png,data\raw\malignant\malignant (194)_mask.png,data\selected\busi_subset\malignant\images\malignant_194.png,data\selected\busi_subset\malignant\masks\malignant_194_mask.png,555,923,512265,95.68000793457031,55.850868225097656,0.0,253.0,105.0,1.0,181.0,253.0,-0.1643034666776657,-0.9053540229797363,66499,0.12981367065874108,22.38394546508789,26.078907012939453,0.0,169.0,106.6142807006836,50.61821365356445,0.0,253.0,0.7900473995990217
benign (209),benign,data\raw\benign\benign (209).png,data\raw\benign\benign (209)_mask.png,data\selected\busi_subset\benign\images\benign_209.png,data\selected\busi_subset\benign\masks\benign_209_mask.png,477,558,266166,83.02119445800781,62.60452651977539,0.0,255.0,75.0,8.0,197.0,255.0,0.5045952796936035,-0.8004887104034424,7707,0.028955614165595906,87.38705444335938,40.123138427734375,19.0,242.0,82.89102935791016,63.14749526977539,0.0,255.0,-0.05424018883266249
malignant (101),malignant,data\raw\malignant\malignant (101).png,data\raw\malignant\malignant (101)_mask.png,data\selected\busi_subset\malignant\images\malignant_101.png,data\selected\busi_subset\malignant\masks\malignant_101_mask.png,559,883,493597,55.84004592895508,35.766822814941406,0.0,255.0,54.0,1.0,117.0,255.0,0.5805484652519226,0.4659430980682373,68531,0.13883998484593707,41.12565231323242,30.7607479095459,0.0,196.0,58.212371826171875,35.95030975341797,0.0,255.0,0.2935238502397208
malignant (125),malignant,data\raw\malignant\malignant (125).png,data\raw\malignant\malignant (125)_mask.png,data\selected\busi_subset\malignant\images\malignant_125.png,data\selected\busi_subset\malignant\masks\malignant_125_mask.png,465,557,259005,102.61610412597656,52.501991271972656,0.0,255.0,103.0,25.0,196.0,255.0,0.33770671486854553,-0.546473503112793,13033,0.05031949190170074,104.09053802490234,42.46300506591797,22.0,245.0,102.53800201416016,52.97972869873047,0.0,255.0,-0.01514107921057772
benign (13),benign,data\raw\benign\benign (13).png,data\raw\benign\benign (13)_mask.png,data\selected\busi_subset\benign\images\benign_13.png,data\selected\busi_subset\benign\masks\benign_13_mask.png,571,678,387138,67.45613861083984,46.77959442138672,0.0,243.0,63.0,0.0,156.0,243.0,0.5931150913238525,-0.12529897689819336,52450,0.1354814045637473,20.1456241607666,30.354808807373047,0.0,243.0,74.87030029296875,44.50992965698242,0.0,242.0,0.7309263607966617
benign (1),benign,data\raw\benign\benign (1).png,data\raw\benign\benign (1)_mask.png,data\selected\busi_subset\benign\images\benign_1.png,data\selected\busi_subset\benign\masks\benign_1_mask.png,471,562,264702,132.37513732910156,58.3931884765625,0.0,255.0,139.0,34.0,225.0,255.0,-0.17925134301185608,-0.8056044578552246,984,0.0037173878550218736,73.69512176513672,37.52132797241211,25.0,241.0,132.5941162109375,58.346710205078125,0.0,255.0,0.4442051889214993
malignant (92),malignant,data\raw\malignant\malignant (92).png,data\raw\malignant\malignant (92)_mask.png,data\selected\busi_subset\malignant\images\malignant_92.png,data\selected\busi_subset\malignant\masks\malignant_92_mask.png,581,617,358477,118.71257781982422,51.304256439208984,0.0,255.0,127.0,34.0,200.0,255.0,-0.0757681205868721,-0.7485606670379639,22068,0.06156043483961314,104.53770446777344,47.01409149169922,13.0,232.0,119.64244842529297,51.43687057495117,0.0,255.0,0.12624903748679744
benign (292),benign,data\raw\benign\benign (292).png,data\raw\benign\benign (292)_mask.png,data\selected\busi_subset\benign\images\benign_292.png,data\selected\busi_subset\benign\masks\benign_292_mask.png,391,460,179860,80.70405578613281,51.11766815185547,0.0,255.0,80.0,13.0,172.0,255.0,0.47820574045181274,-0.4765663146972656,7267,0.04040364728121872,103.87092590332031,28.45171546936035,54.0,237.0,79.72862243652344,51.627540588378906,0.0,255.0,-0.3028059776523782
