image_id,label,method,speckle_index,high_frequency_energy,lesion_background_contrast,robust_bilateral_image_path,robust_bilateral_mask_path,robust_nlm_image_path,robust_nlm_mask_path
malignant (73),malignant,robust_nlm,0.6198992866772559,0.0017394703793594552,0.18306220990508434,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_73.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_73_mask.png
malignant (65),malignant,raw,0.6101655579202371,0.001431108911173044,0.47975104449123707,,,,
malignant (65),malignant,robust_bilateral,0.6018456764723009,0.0009244650805737974,0.4867079704841454,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_65.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_65_mask.png,,
malignant (65),malignant,robust_nlm,0.6059530061943728,0.0006569607145352994,0.4895874643566411,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_65.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_65_mask.png
benign (99),benign,raw,0.5857534851612836,0.0021712653715289156,0.8050941026067473,,,,
benign (99),benign,robust_bilateral,0.5832682047545394,0.001617999810439815,0.8148749045937888,data\processed\preprocessed\robust_bilateral\benign\images\benign_99.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_99_mask.png,,
benign (99),benign,robust_nlm,0.5878548625353034,0.0016394764964123194,0.8181444363270082,,,data\processed\preprocessed\robust_nlm\benign\images\benign_99.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_99_mask.png
benign (76),benign,raw,0.48461894993929294,0.00036158556470155666,0.8226209209841557,,,,
benign (76),benign,robust_bilateral,0.5265688223248352,0.00030296225430873904,0.8662272808948069,data\processed\preprocessed\robust_bilateral\benign\images\benign_76.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_76_mask.png,,
benign (76),benign,robust_nlm,0.5304214367058535,0.0001591640165193866,0.8698142023245635,,,data\processed\preprocessed\robust_nlm\benign\images\benign_76.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_76_mask.png
benign (429),benign,raw,0.5532208954768777,0.00162361847063333,0.4419975353778589,,,,
benign (429),benign,robust_bilateral,0.6603744935374154,0.0017328806467881016,0.4873623940026189,data\processed\preprocessed\robust_bilateral\benign\images\benign_429.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_429_mask.png,,
benign (429),benign,robust_nlm,0.6666529142931873,0.0015602864929570553,0.49126286154768195,,,data\processed\preprocessed\robust_nlm\benign\images\benign_429.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_429_mask.png
benign (177),benign,raw,0.6631816466230409,0.002581641281119968,0.5780400513302634,,,,
benign (177),benign,robust_bilateral,0.7065120078675465,0.002003449923863703,0.6243906554126851,data\processed\preprocessed\robust_bilateral\benign\images\benign_177.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_177_mask.png,,
benign (177),benign,robust_nlm,0.7124440196720014,0.0020874047127990483,0.6298183268243853,,,data\processed\preprocessed\robust_nlm\benign\images\benign_177.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_177_mask.png
benign (365),benign,raw,0.47792171350773854,0.0011694603003130327,0.21958643273852746,,,,
benign (365),benign,robust_bilateral,0.5475852309365432,0.0011414736786641017,0.2544535968959775,data\processed\preprocessed\robust_bilateral\benign\images\benign_365.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_365_mask.png,,
benign (365),benign,robust_nlm,0.5520916770373585,0.0009313823370560607,0.2578765092862154,,,data\processed\preprocessed\robust_nlm\benign\images\benign_365.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_365_mask.png
benign (47),benign,raw,0.7222348981182954,0.0014623147235583289,0.10127681551150315,,,,
benign (47),benign,robust_bilateral,0.7292024108127668,0.0011756374668619504,0.09738203769331681,data\processed\preprocessed\robust_bilateral\benign\images\benign_47.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_47_mask.png,,
benign (47),benign,robust_nlm,0.7302319216174278,0.0013072278135830913,0.10043243966427444,,,data\processed\preprocessed\robust_nlm\benign\images\benign_47.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_47_mask.png
benign (172),benign,raw,0.5222036472495304,0.0011889670618373336,0.6928990003374011,,,,
benign (172),benign,robust_bilateral,0.5472033001497829,0.0010836372695907349,0.7192776418537383,data\processed\preprocessed\robust_bilateral\benign\images\benign_172.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_172_mask.png,,
benign (172),benign,robust_nlm,0.5500189940833674,0.001052354864330581,0.7214410975807265,,,data\processed\preprocessed\robust_nlm\benign\images\benign_172.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_172_mask.png
benign (120),benign,raw,0.7811746525809912,0.0005187399210908451,0.15708367283100255,,,,
benign (120),benign,robust_bilateral,0.8778408363176203,0.0004966788513255034,0.1730607562901479,data\processed\preprocessed\robust_bilateral\benign\images\benign_120.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_120_mask.png,,
benign (120),benign,robust_nlm,0.8807272021729865,0.0003008921379305956,0.1719495847358282,,,data\processed\preprocessed\robust_nlm\benign\images\benign_120.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_120_mask.png
malignant (57),malignant,raw,0.6469773060061024,0.0011705236726238756,0.0738235123162171,,,,
malignant (57),malignant,robust_bilateral,0.6871462009055131,0.000714143499882698,0.07695470941380345,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_57.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_57_mask.png,,
malignant (57),malignant,robust_nlm,0.6922691506973822,0.0005616974010640475,0.07726889638215104,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_57.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_57_mask.png
benign (386),benign,raw,0.6745189500586855,0.0009208309136925686,0.11537980240929126,,,,
benign (386),benign,robust_bilateral,0.6750412691931981,0.0006818478195602765,0.11744836017164277,data\processed\preprocessed\robust_bilateral\benign\images\benign_386.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_386_mask.png,,
benign (386),benign,robust_nlm,0.6789690823098166,0.0005753757079868578,0.11700161475951656,,,data\processed\preprocessed\robust_nlm\benign\images\benign_386.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_386_mask.png
malignant (61),malignant,raw,0.44663634930806023,0.001480046787589644,-0.01260912514400897,,,,
malignant (61),malignant,robust_bilateral,0.5662911254041394,0.0017129118436952418,-0.01956490695395488,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_61.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_61_mask.png,,
malignant (61),malignant,robust_nlm,0.570986198905275,0.001582321517402607,-0.019079063148379344,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_61.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_61_mask.png
benign (281),benign,raw,0.4171564975274803,0.003935947298314994,0.3545936196058459,,,,
benign (281),benign,robust_bilateral,0.534242964189473,0.0023789284147035052,0.5041048867500365,data\processed\preprocessed\robust_bilateral\benign\images\benign_281.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_281_mask.png,,
benign (281),benign,robust_nlm,0.543780471214173,0.005286446008910595,0.46292043950513845,,,data\processed\preprocessed\robust_nlm\benign\images\benign_281.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_281_mask.png
malignant (153),malignant,raw,0.8058324553606092,0.004174125060529413,0.6100542628914108,,,,
malignant (153),malignant,robust_bilateral,0.8133771305958191,0.0008654669621165248,0.6211851784223934,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_153.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_153_mask.png,,
malignant (153),malignant,robust_nlm,0.816243770175767,0.001519737647598032,0.6227094830499177,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_153.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_153_mask.png
benign (339),benign,raw,0.7231528540893414,0.0019585928444079536,0.40236241606886,,,,
benign (339),benign,robust_bilateral,0.7233213582267138,0.0015108440243750475,0.4092971954468008,data\processed\preprocessed\robust_bilateral\benign\images\benign_339.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_339_mask.png,,
benign (339),benign,robust_nlm,0.7282201722910213,0.0014765328559910337,0.41154152897522306,,,data\processed\preprocessed\robust_nlm\benign\images\benign_339.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_339_mask.png
benign (227),benign,raw,0.4044451360554853,0.002706271987843534,0.08670653136337031,,,,
benign (227),benign,robust_bilateral,0.5679041664130264,0.003088057164731582,0.1638253435508782,data\processed\preprocessed\robust_bilateral\benign\images\benign_227.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_227_mask.png,,
benign (227),benign,robust_nlm,0.5794231413353645,0.0038913020317970426,0.12649384821380916,,,data\processed\preprocessed\robust_nlm\benign\images\benign_227.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_227_mask.png
benign (312),benign,raw,0.892564938886593,0.001899052679149928,-0.048759761891701524,,,,
benign (312),benign,robust_bilateral,0.886913507845086,0.001463681729183793,-0.049893486953558455,data\processed\preprocessed\robust_bilateral\benign\images\benign_312.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_312_mask.png,,
benign (312),benign,robust_nlm,0.8908501999298762,0.0012452228071350834,-0.04901602373816583,,,data\processed\preprocessed\robust_nlm\benign\images\benign_312.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_312_mask.png
benign (381),benign,raw,0.30637643015474364,0.0003489082079319118,0.22122207973757574,,,,
benign (381),benign,robust_bilateral,0.413145586150877,0.000512685271412061,0.3029874018897501,data\processed\preprocessed\robust_bilateral\benign\images\benign_381.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_381_mask.png,,
benign (381),benign,robust_nlm,0.4151757493232635,0.00044781088192956533,0.3037486902866514,,,data\processed\preprocessed\robust_nlm\benign\images\benign_381.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_381_mask.png
benign (264),benign,raw,0.4748687747359261,0.003831635000276474,0.2701198031783317,,,,
benign (264),benign,robust_bilateral,0.5606782233545033,0.0024713469856399465,0.3454435215568501,data\processed\preprocessed\robust_bilateral\benign\images\benign_264.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_264_mask.png,,
benign (264),benign,robust_nlm,0.5724425016262418,0.004020239668174517,0.33216815250831644,,,data\processed\preprocessed\robust_nlm\benign\images\benign_264.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_264_mask.png
benign (108),benign,raw,0.4047124340607959,0.0013833473428437274,-0.3421397574597056,,,,
benign (108),benign,robust_bilateral,0.4731041212848511,0.001307044983691438,-0.40945381318784085,data\processed\preprocessed\robust_bilateral\benign\images\benign_108.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_108_mask.png,,
benign (108),benign,robust_nlm,0.4738986136806123,0.0014126762759795449,-0.4105623461811618,,,data\processed\preprocessed\robust_nlm\benign\images\benign_108.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_108_mask.png
benign (288),benign,raw,0.3527973212230165,0.0011962102684160635,-0.13034750899537223,,,,
benign (288),benign,robust_bilateral,0.5273151672540561,0.0016763429637419137,-0.20339384482385217,data\processed\preprocessed\robust_bilateral\benign\images\benign_288.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_288_mask.png,,
benign (288),benign,robust_nlm,0.5346608577075497,0.001730343218363713,-0.2034117383812349,,,data\processed\preprocessed\robust_nlm\benign\images\benign_288.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_288_mask.png
malignant (182),malignant,raw,0.7444856021908569,0.001854361521368622,0.5139316039702921,,,,
malignant (182),malignant,robust_bilateral,0.7516953771639591,0.0015154054941179107,0.5215143989516874,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_182.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_182_mask.png,,
malignant (182),malignant,robust_nlm,0.7524658719336292,0.0016121577989173207,0.5223953136998232,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_182.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_182_mask.png
benign (402),benign,raw,0.566628503995725,0.0014246106442765884,-0.2519996077554543,,,,
benign (402),benign,robust_bilateral,0.6434336041141999,0.0011154690456356314,-0.29152284820297797,data\processed\preprocessed\robust_bilateral\benign\images\benign_402.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_402_mask.png,,
benign (402),benign,robust_nlm,0.6451190447059975,0.0011835916814420186,-0.2917705392886642,,,data\processed\preprocessed\robust_nlm\benign\images\benign_402.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_402_mask.png
malignant (86),malignant,raw,0.5799287068406846,0.0026709688267867893,0.596937013903821,,,,
malignant (86),malignant,robust_bilateral,0.5572854089074915,0.001224504985873593,0.6054704024240981,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_86.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_86_mask.png,,
malignant (86),malignant,robust_nlm,0.5624631940748686,0.0010464292373451422,0.6076865809229824,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_86.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_86_mask.png
benign (350),benign,raw,0.41422102568229807,0.0010076517656247006,0.03471305991775497,,,,
benign (350),benign,robust_bilateral,0.5311953372394499,0.0010848415952846072,0.04464672197778563,data\processed\preprocessed\robust_bilateral\benign\images\benign_350.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_350_mask.png,,
benign (350),benign,robust_nlm,0.5340863454618473,0.001152059295470307,0.04511057882167948,,,data\processed\preprocessed\robust_nlm\benign\images\benign_350.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_350_mask.png
benign (178),benign,raw,0.5607389444115427,0.001171864231387207,0.6581489888048341,,,,
benign (178),benign,robust_bilateral,0.5780814935725345,0.0010166001589297974,0.6814632999903669,data\processed\preprocessed\robust_bilateral\benign\images\benign_178.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_178_mask.png,,
benign (178),benign,robust_nlm,0.5796776770904223,0.0010895684404661893,0.6834858016181556,,,data\processed\preprocessed\robust_nlm\benign\images\benign_178.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_178_mask.png
benign (268),benign,raw,0.49673530710456404,0.005610723075973186,0.38780398368283947,,,,
benign (268),benign,robust_bilateral,0.5096698884980072,0.002593829082813183,0.44044325957016217,data\processed\preprocessed\robust_bilateral\benign\images\benign_268.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_268_mask.png,,
benign (268),benign,robust_nlm,0.5244668870179997,0.004800784106803733,0.41889267409886133,,,data\processed\preprocessed\robust_nlm\benign\images\benign_268.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_268_mask.png
benign (419),benign,raw,0.6431474448633658,0.0016327475981115275,0.5232954532516485,,,,
benign (419),benign,robust_bilateral,0.645583940955993,0.001270109589723507,0.5292820120559825,data\processed\preprocessed\robust_bilateral\benign\images\benign_419.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_419_mask.png,,
benign (419),benign,robust_nlm,0.6476040961784688,0.0013864278046561084,0.5318628408148092,,,data\processed\preprocessed\robust_nlm\benign\images\benign_419.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_419_mask.png
malignant (121),malignant,raw,0.6418676784394485,0.0020033245497408565,-0.06638270031110421,,,,
malignant (121),malignant,robust_bilateral,0.7160071349409705,0.001630849014009729,-0.04657444549846922,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_121.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_121_mask.png,,
malignant (121),malignant,robust_nlm,0.7205678157745934,0.0018982268366590854,-0.0771753486859361,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_121.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_121_mask.png
malignant (187),malignant,raw,0.750418550664765,0.0013374289991964232,-0.3097966553099077,,,,
malignant (187),malignant,robust_bilateral,0.7567780776132592,0.001080353615390426,-0.31649245335879556,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_187.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_187_mask.png,,
malignant (187),malignant,robust_nlm,0.7576572659061703,0.0011896866615417083,-0.3167160774861968,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_187.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_187_mask.png
malignant (173),malignant,raw,1.0634046848999694,0.004310370882313898,0.8469209133622336,,,,
malignant (173),malignant,robust_bilateral,1.0418839474662798,0.002664727501708441,0.8565147598544239,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_173.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_173_mask.png,,
malignant (173),malignant,robust_nlm,1.0534474963072546,0.002703160078451968,0.8622236445686681,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_173.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_173_mask.png
benign (33),benign,raw,0.6822366469413883,0.0018830080528431856,0.8127458627195899,,,,
benign (33),benign,robust_bilateral,0.6821687711812677,0.00158328325989347,0.8224919771555359,data\processed\preprocessed\robust_bilateral\benign\images\benign_33.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_33_mask.png,,
benign (33),benign,robust_nlm,0.6868347030255673,0.001492618920601578,0.8253974775324511,,,data\processed\preprocessed\robust_nlm\benign\images\benign_33.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_33_mask.png
benign (265),benign,raw,0.5030607168132935,0.0038019197507843817,0.4388504768309672,,,,
benign (265),benign,robust_bilateral,0.5089835777841394,0.0018850902756423521,0.4746051980759346,data\processed\preprocessed\robust_bilateral\benign\images\benign_265.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_265_mask.png,,
benign (265),benign,robust_nlm,0.5174355799761069,0.0032719526637424116,0.4603228335602934,,,data\processed\preprocessed\robust_nlm\benign\images\benign_265.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_265_mask.png
benign (302),benign,raw,0.32752018033168584,0.0011053649533454932,0.23015239571530569,,,,
benign (302),benign,robust_bilateral,0.5227243364642433,0.0019151719417459633,0.38076087178073775,data\processed\preprocessed\robust_bilateral\benign\images\benign_302.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_302_mask.png,,
benign (302),benign,robust_nlm,0.5342829519642421,0.0017306480519320851,0.38136564767692854,,,data\processed\preprocessed\robust_nlm\benign\images\benign_302.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_302_mask.png
benign (241),benign,raw,0.5549483005107937,0.006288964056935278,0.2040381945739453,,,,
benign (241),benign,robust_bilateral,0.6252020446954087,0.00435907903261267,0.2750281628061032,data\processed\preprocessed\robust_bilateral\benign\images\benign_241.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_241_mask.png,,
benign (241),benign,robust_nlm,0.6331148855526012,0.00638138556554341,0.24236971342702263,,,data\processed\preprocessed\robust_nlm\benign\images\benign_241.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_241_mask.png
benign (169),benign,raw,0.6400950959743724,0.0021936734965260643,0.5648851130567725,,,,
benign (169),benign,robust_bilateral,0.7082382941917081,0.0019153773503246766,0.6301688967217044,data\processed\preprocessed\robust_bilateral\benign\images\benign_169.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_169_mask.png,,
benign (169),benign,robust_nlm,0.7123239596513882,0.0018386017357308096,0.6367345510995438,,,data\processed\preprocessed\robust_nlm\benign\images\benign_169.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_169_mask.png
benign (186),benign,raw,0.40178353487887897,0.00041861457751340514,0.6872549314521728,,,,
benign (186),benign,robust_bilateral,0.4487501394838689,0.00042542881998613975,0.7693980818927223,data\processed\preprocessed\robust_bilateral\benign\images\benign_186.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_186_mask.png,,
benign (186),benign,robust_nlm,0.45018566034362223,0.0003742600066782706,0.7707254686343626,,,data\processed\preprocessed\robust_nlm\benign\images\benign_186.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_186_mask.png
malignant (17),malignant,raw,0.7220851983163691,0.0014032429479442956,0.23276159645719188,,,,
malignant (17),malignant,robust_bilateral,0.7644630225517345,0.0012844652637428067,0.2470921252850785,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_17.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_17_mask.png,,
malignant (17),malignant,robust_nlm,0.7662649527188575,0.001465709223340654,0.24858673221809555,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_17.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_17_mask.png
benign (161),benign,raw,0.6625361567395698,0.0033179571978706637,0.5230855281693023,,,,
benign (161),benign,robust_bilateral,0.6682553765086153,0.002656894411534209,0.5366604031493133,data\processed\preprocessed\robust_bilateral\benign\images\benign_161.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_161_mask.png,,
benign (161),benign,robust_nlm,0.6742723645401895,0.0026605052412853,0.5412579209997945,,,data\processed\preprocessed\robust_nlm\benign\images\benign_161.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_161_mask.png
benign (113),benign,raw,0.5876976137447558,0.00045216914576091564,0.5468553955805606,,,,
benign (113),benign,robust_bilateral,0.6813024089142435,0.000432985784100057,0.6436804547807132,data\processed\preprocessed\robust_bilateral\benign\images\benign_113.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_113_mask.png,,
benign (113),benign,robust_nlm,0.684762244959362,0.0002547253037031344,0.6474150992953788,,,data\processed\preprocessed\robust_nlm\benign\images\benign_113.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_113_mask.png
benign (284),benign,raw,1.0545603276654167,0.0046858360990418135,-0.027855480777014593,,,,
benign (284),benign,robust_bilateral,1.0461218685848521,0.0019329357026108879,0.0069876767901924115,data\processed\preprocessed\robust_bilateral\benign\images\benign_284.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_284_mask.png,,
benign (284),benign,robust_nlm,1.0533990520151542,0.0038045954649653306,-0.024264061474999408,,,data\processed\preprocessed\robust_nlm\benign\images\benign_284.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_284_mask.png
malignant (47),malignant,raw,0.6362228772397338,0.0021128014683000126,-0.10601053294144946,,,,
malignant (47),malignant,robust_bilateral,0.7080035678642046,0.0018767645990147815,-0.121958692064124,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_47.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_47_mask.png,,
malignant (47),malignant,robust_nlm,0.7109534086537234,0.001906834971321193,-0.12141751082593168,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_47.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_47_mask.png
benign (182),benign,raw,0.5218032706809643,0.0012548250311429012,0.3234588084224047,,,,
benign (182),benign,robust_bilateral,0.6237259590392396,0.0013317503069295853,0.3845221126384086,data\processed\preprocessed\robust_bilateral\benign\images\benign_182.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_182_mask.png,,
benign (182),benign,robust_nlm,0.6290906430783533,0.001101694007479387,0.38761548855464445,,,data\processed\preprocessed\robust_nlm\benign\images\benign_182.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_182_mask.png
malignant (194),malignant,raw,0.5837255810355977,0.0010152816813201783,0.7900473995990217,,,,
malignant (194),malignant,robust_bilateral,0.5858554653829746,0.0008197289648138568,0.7997301733679624,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_194.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_194_mask.png,,
malignant (194),malignant,robust_nlm,0.5866920965745515,0.0008578435276029603,0.8007802049168585,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_194.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_194_mask.png
benign (209),benign,raw,0.7540788461124925,0.0030184440511427844,-0.05424018883266249,,,,
benign (209),benign,robust_bilateral,0.7857235046531336,0.0020740418633912283,-0.029973319147412865,data\processed\preprocessed\robust_bilateral\benign\images\benign_209.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_209_mask.png,,
benign (209),benign,robust_nlm,0.7895602587249196,0.002701429885489445,-0.060834706575753975,,,data\processed\preprocessed\robust_nlm\benign\images\benign_209.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_209_mask.png
malignant (101),malignant,raw,0.6271811254012566,0.0013099934134665778,0.3035480868388418,,,,
malignant (101),malignant,robust_bilateral,0.6226546215008621,0.0006663897340271049,0.307456879926431,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_101.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_101_mask.png,,
malignant (101),malignant,robust_nlm,0.6260070610289948,0.0005765885683482884,0.3097657327759846,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_101.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_101_mask.png
malignant (125),malignant,raw,0.5116350081612788,0.002255113915515138,-0.01514107921057772,,,,
malignant (125),malignant,robust_bilateral,0.5950961887222985,0.0017654986014869678,-0.0035306204925820103,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_125.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_125_mask.png,,
malignant (125),malignant,robust_nlm,0.6006467793620549,0.0023749417382867696,-0.019346141584794325,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_125.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_125_mask.png
benign (13),benign,raw,0.6934816517035187,0.002780259250798403,0.7309263607966617,,,,
benign (13),benign,robust_bilateral,0.6829302645963201,0.000321077266456109,0.7318085921368929,data\processed\preprocessed\robust_bilateral\benign\images\benign_13.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_13_mask.png,,
benign (13),benign,robust_nlm,0.6873574369864752,0.0024362260372848012,0.7341278337803775,,,data\processed\preprocessed\robust_nlm\benign\images\benign_13.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_13_mask.png
benign (1),benign,raw,0.4411190020629746,0.001543794628608083,0.4442051889214993,,,,
benign (1),benign,robust_bilateral,0.5372334847794116,0.0016969680196031263,0.5447438497874362,data\processed\preprocessed\robust_bilateral\benign\images\benign_1.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_1_mask.png,,
benign (1),benign,robust_nlm,0.5407382138964941,0.0017052909607778385,0.5500570824474652,,,data\processed\preprocessed\robust_nlm\benign\images\benign_1.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_1_mask.png
malignant (92),malignant,raw,0.4321720358652806,0.0007324296773556199,0.12624903748679744,,,,
malignant (92),malignant,robust_bilateral,0.5355156595672842,0.00077317478309566,0.15726191983097587,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_92.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_92_mask.png,,
malignant (92),malignant,robust_nlm,0.5372814850042963,0.000791022001210197,0.1571701517903501,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_92.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_92_mask.png
benign (292),benign,raw,0.6333965208306036,0.003495287189938893,-0.3028059776523782,,,,
benign (292),benign,robust_bilateral,0.6905328197036362,0.0031457436105068273,-0.34236058173802825,data\processed\preprocessed\robust_bilateral\benign\images\benign_292.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_292_mask.png,,
benign (292),benign,robust_nlm,0.6976412865837093,0.0033299920950215947,-0.34012794004297187,,,data\processed\preprocessed\robust_nlm\benign\images\benign_292.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_292_mask.png
benign (6),benign,raw,0.7530052626542225,0.0069148864485488555,0.1600051563247463,,,,
benign (6),benign,robust_bilateral,0.8629299634409283,0.002697223999878691,0.24249168696580398,data\processed\preprocessed\robust_bilateral\benign\images\benign_6.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_6_mask.png,,
